291.644,12.754,282
57.697,28.900,281
55.178,52.166,195
303.771,36.458,231
70.350,30.550,177
84.262,46.014,184
152.028,70.901,287
205.306,47.363,190
77.820,36.993,167
124.139,4.0476,166
77.452,47.788,193
170.236,42.202,257
303.466,41.316,168
277.981,-7.706,38
294.033,21.026,272
323.940,44.526,265
302.197,28.304,228
302.719,41.371,253
166.739,38.950,135
2.071,64.117,233
133.612,29.459,207
220.910,25.277,204
203.541,25.405,206
218.108,27.792,224
78.849,25.494,88
59.264,26.916,287
114.217,26.746,208
266.235,20.744,257
273.586,39.287,210
296.104,24.695,253
332.394,57.437,285
