C.D.S.  -  SIMBAD4 rel 1.223  -  2014.06.10CEST20:53:45

coord 350.678700 34.590420, radius: 12 arcmin
---------------------------------------------

Number of objects : 14

# ;dist(asec);       identifier        ;  coord1 (FK5,J2000/2000)  
C.D.S.  -  SIMBAD4 rel 1.223  -  2014.06.10CEST20:53:45

coord 170.118700 42.263760, radius: 12 arcmin
---------------------------------------------

Number of objects : 19

# ;dist(asec);       identifier        ;  coord1 (FK5,J2000/2000)  
--;----------;-------------------------;---------------------------
1 ;    122.70;NSC J112030+421750       ;170.12746 +42.29722        
2 ;    245.59;SDSS J112047.11+421802.2 ;170.196296 +42.300611      
3 ;    307.21;2FGL J1121.0+4211        ;170.200253 +42.203457      
4 ;    425.06;SDSSCGB 19865.1          ;170.254308 +42.201636      
5 ;    426.87;SDSSCGB 19865.3          ;170.255775 +42.202444      
6 ;    430.88;SDSSCGB 19865            ;170.2567 +42.2014          
7 ;    434.17;SDSSCGB 19865.2          ;170.259296 +42.202861      
8 ;    436.39;SDSSCGB 19865.4          ;170.257096 +42.199003      
9 ;    472.45;[VV2006] J112107.0+421910;170.279320 +42.319493      
10;    509.02;TYC 3012-1184-1          ;169.930347 +42.240207      
11;    555.31;SDSSCGB 14551.1          ;170.041517 +42.120500      
12;    556.98;SDSSCGB 14551.3          ;170.039933 +42.120472      
13;    562.61;SDSSCGB 14551            ;170.0396 +42.1189          
14;    565.21;SDSSCGB 14551.2          ;170.037108 +42.118861      
15;    572.81;SDSSCGB 14551.4          ;170.039325 +42.115914      
16;    579.28;BD+43 2106               ;170.321346 +42.322262      
17;    604.43;LHS 6202                 ;169.941758 +42.368981      
18;    646.06;TYC 3012-2108-1          ;169.884429 +42.310347      
19;    682.49;[VV2006] J112052.7+422617;170.219738 +42.438016      
================================================================================

